,📊  MONTHLY DASHBOARD & ANALYSIS,,,,,,,,,,,,,,,,
,📅 Week 1    |    📅 Week 2    |    📅 Week 3    |    📅 Week 4    |    📊 Dashboard,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,💻 Programming,,,,📚 English,,,,🏋️ Exercises,,,,🧘 Meditate,,,,⚡ Productive (Month)
,0.0 h,,,,0.0 h,,,,0.0 h,,,,0.0 h,,,,0.0 h
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,🧑‍💻 Work,,,,😴 Sleep,,,,⌛ Wasted Time,,,,🏆 Productivity Score,,,,⚡ Avg Productive / Day
,0.0 h,,,,0.0 h,,,,0.0 h,,,,0 / 100,,,,0.00 h
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,📊 Monthly Summary by Activity  (auto-collected from Weeks 1–4),,,,,,,,,,,,,,,,
,Activity,Week 1,Week 2,Week 3,Week 4,Σ Total,% of Month,Trend,,,,,,,,,
,💻 codding,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,💻 learn-prog,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,📚 En-book,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,📚 En-listening,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,🏋️ Run,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,🏋️ Gym,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,🧑‍💻 work,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,🧘 Meditation,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,🧘 Setar,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,📋 Personal Tasks,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,⌛ Wasted Time,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,😴 Sleep,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,Σ Total Tracked,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"📦 Group Summary  (Programming, English, Exercises, Meditate, …)",,,,,,,,,,,,,,,,
,Group,Week 1,Week 2,Week 3,Week 4,Σ Total,% of Month,Trend,,,,,,,,,
,💻 Programming,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,📚 English,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,🏋️ Exercises,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,🧘 Meditate,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,🧑‍💻 Work,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,📋 Personal Tasks,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,😴 Sleep,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,⌛ Wasted Time,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,📅 Weekly Totals by Activity  (auto — feeds the trend charts),,,,,,,,,,,,,,,,
,Week,💻 codding,💻 learn-prog,📚 En-book,📚 En-listening,🏋️ Run,🏋️ Gym,🧑‍💻 work,🧘 Meditation,🧘 Setar,📋 Personal Tasks,⌛ Wasted Time,😴 Sleep,,,,
,Week 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
,Week 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
,Week 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
,Week 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
,,,,,,,,,,,,,,,,,
,📌 Key Metrics,,,,,,🏆 Productivity Score,,,,,,,⚡ Productive Time,,,
